year,co2_emission_g,lower_g,upper_g
2019,10000000.0,10000000.0,10000000.0
2020,10350000.0,10350000.0,10350000.0
2021,10712250.0,10712250.0,10712250.0
2022,11087178.75,11087178.75,11087178.75
2023,11475230.006,11475230.006,11475230.006
2024,11876863.056,11876863.056,11876863.056
2025,12292553.263,11677925.6,12907180.927
2026,12722792.628,12086652.996,13358932.259
2027,13168090.37,12509685.851,13826494.888
2028,13628973.533,12947524.856,14310422.209
2029,14105987.606,13400688.226,14811286.987
2030,14599697.172,13869712.314,15329682.031
2031,15110686.573,14355152.245,15866220.902
2032,15639560.604,14857582.573,16421538.634
2033,16186945.225,15377597.963,16996292.486
2034,16753488.308,15915813.892,17591162.723
2035,17339860.398,16472867.378,18206853.418
2036,17946755.512,17049417.737,18844093.288
2037,18574891.955,17646147.357,19503636.553
2038,19225013.174,18263762.515,20186263.832
2039,19897888.635,18902994.203,20892783.066
2040,20594314.737,19564599.0,21624030.474
2041,21315115.753,20249359.965,22380871.54
2042,22061144.804,20958087.564,23164202.044
2043,22833284.872,21691620.629,23974949.116
2044,23632449.843,22450827.351,24814072.335
2045,24459585.587,23236606.308,25682564.867
2046,25315671.083,24049887.529,26581454.637
2047,26201719.571,24891633.592,27511805.549
2048,27118779.756,25762840.768,28474718.743
2049,28067937.047,26664540.195,29471333.899
2050,29050314.844,27597799.101,30502830.586
